,ResponseId,Informed consent,Age,Gender,Continent of residence,Understanding of sustainability,Concerned about wasting resources,Socially responsible person,Prefer sustainability to conveniency,Willingness to make the world a better place,Clothing shopping frequencies,Factors that influence my shopping decisions,Needs and desires,Understanding of ethical fashion,Own sustainable clothing,Well informed on sustainable clothing,Impact of sustainble clothing on the world,Ability to afford sustainable clothing,Intention to buy sustainable clothing within the next 12 months
785,R_1EdukxJKWgDQiKQ,Yes,22-39,Female,North America,to maintain,Neutral,Mostly true,Mostly not true,Very important,Every 3 months,fit and price,"more items for curvy women.
more clothes made in the usa",clothing that is made from recycled materials,No,Strongly disagree,TRUE,Neutral,0
786,R_W34nSBBIZq1zWXD,Yes,22-39,Female,North America,I define sustainability as anything that can help preserve the Earth by being recycled or reused.,Mostly true,Mostly true,Mostly not true,Important,Every 3 months,how much I can afford to spend.,Clothes that fit me well and are cheap.,Sustainable clothing are clothes made from recycled products.,Maybe/Not sure,Strongly disagree,Mostly true,Neutral,0
789,R_2s5uDIiP86pGh8M,Yes,22-39,Female,North America,The ability to be supported,Mostly true,Mostly true,Neutral,Important,Every 3 months,Price,Shirts that fit bust and hips,Made from organic materials,Yes,Neutral,Mostly true,Agree,1
790,R_1DqDEXXZiPqBqtw,Yes,22-39,Male,North America,by longevity,Mostly true,Neutral,Neutral,Slightly important,Monthly,quality and price and brand,everything i want in my size and color,taking care of clothing so that it last a while,Yes,Neutral,Neutral,Agree,1
791,R_3ReB37tIGcMJBba,Yes,22-39,Female,North America,To keep something working,Mostly true,Neutral,Mostly true,Important,Monthly,,,,Yes,Disagree,TRUE,Neutral,1
793,R_2wsIImrAUeOqiX8,Yes,22-39,Female,North America,Having lasted a long time.,TRUE,TRUE,TRUE,Very important,Monthly,cost,Pants that are shorter,clothing that is made with economic friendly materials that are durable,Yes,Agree,TRUE,Neutral,1
795,R_yX4k7uzmwO7lCKd,Yes,22-39,Female,North America,The property of biological systems to remain diverse and productive indefinitely.,Mostly true,Mostly true,Mostly not true,Very important,Monthly,How it looks.,A blue velvet dress.,Clothes that I will still wear in the future.,Maybe/Not sure,Neutral,Neutral,Neutral,0
796,R_1ieCqBbhtva8jzA,Yes,22-39,Female,North America,reusable; not harmful,Mostly true,Mostly true,Neutral,Important,Weekly,between price and quality,more unique pieces,"repurposed; natural, quickly renewable sources",Maybe/Not sure,Neutral,Mostly true,Neutral,0
799,R_3IPJNh7vRwMOnCw,Yes,22-39,Female,North America,"Something that last long and does not cause a lot of damage. Can be repaired (like the environment, for example).",Mostly not true,Mostly not true,Not true,Neutral,Weekly,price,Something that is inexpensive and still fashionable,"honestly, it's usually overpriced because it doesn't come out of China and therefore costs more to make",Maybe/Not sure,Disagree,Mostly true,Agree,0
801,R_77HcMholhf4fxxD,Yes,22-39,Female,North America,the way to keep things going,TRUE,Mostly true,Mostly true,Slightly important,Monthly,price,good deal,something made with recycled material,Maybe/Not sure,Disagree,Neutral,Neutral,0
802,R_XndQZ5QNK68xTEd,Yes,22-39,Female,North America,Sustainability is what we can use a resource without in affecting it's production long term.,TRUE,Mostly true,Mostly not true,Important,Monthly,price,Something that flatters my body and is cost effective.,Clothing made with materials that do not affect their long term production.,Maybe/Not sure,Disagree,Mostly true,Agree,0
804,R_uvJCPcl6LgPIZQR,Yes,22-39,Female,Europe,"Something that is going to stay with time, that won't change and pass throught years.",TRUE,Mostly true,Mostly true,Neutral,Yearly,durability and good fabrics,simple basics but with great fabrics.,"clothing that I will be able to keep for year, even maybe a lifetime. With style or fabrics that will always be fashionable",Yes,Disagree,Mostly true,Disagree,1
807,R_PGTL06ZGY85g4yR,Yes,22-39,Female,North America,Consumable goods are made from materials that can be replaced.,Neutral,Neutral,Neutral,Important,Everyday!,Price,,Clothing made from materials obtained with minimal impact on the environment.,Yes,Disagree,Mostly true,Disagree,1
808,R_3Eufib83syNWwKJ,Yes,22-39,Female,North America,Something that is long lasting for use.,Mostly true,Mostly true,Mostly true,Important,Monthly,Price,High quality,High quality and longevity,Maybe/Not sure,Neutral,Mostly true,Neutral,0
809,R_3kzjABIfhyi8uwe,Yes,22-39,Female,North America,I would define sustainability by the rate at which something can be continued without further resources.,Neutral,Mostly true,Mostly true,Important,Every 6 months,the price,something inexpensively made,something that does not harm the environment and does not need to be thrown away in a short amount of time.,Maybe/Not sure,Disagree,Mostly true,Neutral,0
811,R_tWgLBqIE9swEtdT,Yes,22-39,Female,North America,A practice that allows something to last for a long amount of time in relation to what type of product it produces.,TRUE,TRUE,Mostly true,Important,Weekly,How often will I wear it,Good quality material at an affordable price,Clothing made from environmentally good practices that is intended to last a long time,Maybe/Not sure,Agree,TRUE,Neutral,1
812,R_3ME85DJamBQpWNR,Yes,22-39,Female,North America,"constant, something being able to be kept up or continued",Mostly true,Mostly true,Mostly true,Important,Monthly,how much i like it,depends on what I am looking for,environmentally and ethically sound,Maybe/Not sure,Neutral,Mostly true,Neutral,0
813,R_1KlEhPRp16pLlO5,Yes,22-39,Female,Asia,to be able to support,TRUE,Mostly true,Neutral,Very important,Every 3 months,quality,good quality but affordable,clothes you can purchase/wear without breaking the bank,Maybe/Not sure,Neutral,Mostly true,Neutral,1
814,R_1OkR8AdsNMTZkm8,Yes,22-39,Female,North America,"Something that is not exhaustable, dangerous for other people or nature. Smth that will not bringet bad consequences.",Mostly true,Mostly true,Neutral,Neutral,Monthly,The fit and the price,Smth affordable but good quality too.,Clothing made of recycled fabrics or from artificial fibers.,No,Agree,TRUE,Neutral,0
815,R_37S6JFypt9QjSpz,Yes,22-39,Female,North America,Made of or uses materials that are renewable/recyclable,Mostly true,Mostly true,Mostly true,Important,Monthly,Can I buy it online and be relatively certain that it will fit the first time,"More high quality, not ""fast fashion"" clothes. I would be willing to buy more if I knew it would survive more than 10 wearings/washings",Made from renewable and ethically sourced materials,No,Strongly disagree,TRUE,Strongly agree,0
818,R_3PZkh9Ks9Lyyrhn,Yes,22-39,Male,North America,"Quality of sustainable
",Mostly true,Mostly true,Mostly true,Important,Monthly,"the price
","something that fits my body
","part of the growing philosophy of design
",No,Agree,Neutral,Agree,1
819,R_2zehtubFhoeNUI6,Yes,22-39,Female,North America,being able to keep at the same pace.,Mostly true,Mostly true,Neutral,Important,Every 6 months,price,clothes that fit and dont look like they were made for an 80 year old,clothing that can last,Maybe/Not sure,Disagree,Mostly not true,Agree,0
821,R_2cC6HQ3pl8y0iyg,Yes,22-39,Female,Asia,to  maintain the product quality & rate,Mostly true,Mostly true,Mostly true,Very important,Every 6 months,product quality,best quality & affordable product only I will buy,eco-friendly material product,Yes,Agree,TRUE,Agree,1
822,R_1KS0UpAqdjrPT69,Yes,22-39,Female,North America,Being able to renew the resources you used.,Mostly not true,Not true,Mostly not true,Important,Every 3 months,Price,"More cute shoes, that are inexpensive in wide widths","Using renewable sources to make the clothes out of, and to run the factories.",No,Disagree,Neutral,Agree,0
823,R_3fjdkhlZBtl4768,Yes,22-39,Female,North America,The ability to sustain something.,Neutral,Mostly not true,Neutral,Very important,Every 6 months,Price,Good quality clothes at a low price that is also sustainable.,"Clothing that is produced in a moral, ethical, and environmentally responsible way.",Maybe/Not sure,Neutral,TRUE,Neutral,0
824,R_e5KOTyig37shWlX,Yes,22-39,Female,North America,Sustainability means not taking more of anything that can be regenerated with little effort/expense and in a reasonable amount of time.,TRUE,Mostly true,TRUE,Very important,Every 3 months,"Cost vs. value, in terms of: what went into it, what will I get out of it, what am I supporting by buying it, will it wear comfortably","Comfortable, practical curated/capsule wardrobes for people who are both on a budget AND interested in fair labor & eco friendly materials","Fair labor, natural or recycled fabrics (ethically harvested), non toxic dyes, low waste manufacturing facilities/practices",Yes,Disagree,Mostly true,Neutral,1
826,R_bqqz9sNfPNLuHPH,Yes,22-39,Female,North America,"The quality of renewal, specifically in manufacturing resources.",Not true,Not true,Not true,Neutral,Every 3 months,Color,"Affordable, well fitting skirts",Clothing that is made with renewable resources and/or environment friendly manufacturing practices.,Maybe/Not sure,Agree,Neutral,Strongly agree,0
828,R_1pX03YRjCWYoIwj,Yes,22-39,Female,North America,An items range of usable life,Mostly true,Mostly true,Mostly true,Important,Every 3 months,Comfort,Clothing that you know won't fall apart in a year,"Clothing that is good on the environment, that lasts you a longer amount of time than normal cotton, etc",Maybe/Not sure,Disagree,Neutral,Agree,1
830,R_42XR97AwyQIEBlD,Yes,22-39,Female,North America,Being better to the environment,Mostly not true,Mostly not true,Not true,Neutral,Monthly,Price and durability,Good quality for cheap,Clothing made from recyclables,Maybe/Not sure,Disagree,Mostly true,Agree,0
831,R_1GBnZjLWksqL83Q,Yes,22-39,Female,North America,Stability,Neutral,Mostly true,Mostly true,Important,Monthly,Color,Good fit,Tolerable,No,Agree,Mostly true,Agree,1
832,R_3fZQA9smkSSgFFl,Yes,22-39,Female,North America,something long term or lasting,TRUE,Neutral,Mostly true,Very important,Every 3 months,style and fit,More plus size selection,recycled cloth,No,Strongly disagree,TRUE,Agree,1
833,R_3Jh0ihyjeork62a,Yes,22-39,Female,Europe,BEING ABLE TO SURVIVE,TRUE,Mostly true,TRUE,Very important,Weekly,HOW GOOD I WILL LOOK,THE RIGHT FIGHT AND CUT,SOMETHING THAT CAN LAST IN ANY OCCASION,Yes,Neutral,Mostly true,Disagree,0
834,R_spVUMByenENxQUF,Yes,22-39,Male,North America,"The ability to acquire, produce and consume from the use of earths resources in a way that maintains the environmental and ecosystem balance so the area's of acquisition of these resources are unharmed and able to reproduce and expand the quantity and quality of the natural elements and resources native to the area and the planet as a whole.  ",TRUE,Mostly true,TRUE,Very important,Every 3 months,How much do i like it >Price,"Clothing i like, at a reasonable price, that did not cause harm to anyone or anything along the way.","The ability to produce clothing from seed to disposal, without harming the environment, ecosystem, workers or consumers.",Maybe/Not sure,Strongly agree,TRUE,Agree,1
835,R_4YhSRaAmX5pjXq1,Yes,22-39,Female,North America,"Products that are long lasting, are made with low impact on the environment and allow the producers to live well within their community",TRUE,TRUE,TRUE,Very important,Every 6 months,impact on the environment,Affordable and ethical options.,"Long lasting, low environmental impact, positive economic influence for workers",Yes,Neutral,TRUE,Strongly agree,1
836,R_2eRRJgbnUlpr0JA,Yes,52-70,Female,North America,"recyclable, reused, protecting an environment, process in which there is no any form of abuse.",Mostly true,Mostly true,TRUE,Important,Every 6 months,"comfort and design
","comfort/practicality, originality of design ","recyclable, reusable, good quality/long lasting",Yes,Disagree,TRUE,Disagree,1
837,R_VJbKzBRQu52OczT,Yes,22-39,Female,North America,Manufacturing processes for which the environmental impact is neutral.,TRUE,Mostly true,Mostly not true,Very important,Monthly,Whether or not it's resale,Sustainable clothing that is stylish and accessible in my country.,"Clothing that has no to minimal environmental, social and health impacts.",Yes,Agree,TRUE,Strongly disagree,1
838,R_10pU2tss3xvsqAs,Yes,22-39,Female,North America,"Actions that allow us to continue to live, work, and play in a meaningful manner that does the least amount of harm to the natural environment",TRUE,TRUE,TRUE,Very important,Every 6 months,cost and sustainability,"cute, plus sized clothing that is well made","well made, long lasting clothes that don't do harm to the world",Yes,Disagree,Mostly true,Strongly agree,1
839,R_R8F8lOilZDVeyw9,Yes,Under 22,Female,North America,Sustainability is about producing products and services that will leave the Earth in a state of good health for future generations.,TRUE,Mostly true,Neutral,Very important,Monthly,Style and comfort.,"Affordable, fashionable ethical clothing.","Not overproduced, ethical.",Yes,Agree,TRUE,Neutral,1
840,R_1oj7qxkIu6wdoWM,Yes,22-39,Female,North America,The ability of a process to allow the resources and conditions that allow it to occur to be available through time. ,TRUE,TRUE,TRUE,Very important,I avoid it at all costs!,,"More sustainable products in a cut that I would like. I prefer my tops to be cropped, so that they hit my waist (I am short), and would prefer to have the option to have shorter inseams on jeans. ",clothing that takes ethics and environmental needs into account,Yes,Disagree,TRUE,Neutral,1
841,R_1i4ApFm2Ir6lel4,Yes,22-39,Female,North America,"Not be harmful to environment, not deplete natural resources",TRUE,Neutral,TRUE,Very important,Weekly,"The higher the quality of the product, the better. ","Clothing that fits well, the price to reasonably reflect the quality of the clothing, unique design but classic fits, clothing made from organic or sustainable material that reflects beyond basic design aesthetic. ","Clothing that is made and reflects the enforcement of ethical standards regarding economics, labor practices, the environment, business practices, etc. ",Maybe/Not sure,Strongly disagree,TRUE,Neutral,1
842,R_30tO2VRm2JxmbWp,Yes,22-39,Female,Europe,"reduced environmental impact, local production, wiser comsuption ",TRUE,Mostly true,Mostly true,Important,Monthly,to buy something I really need,"Ethical loccaly produced items... Very rare where I live or very very expensive. At least, I tried to buy goods quality items what will last. ","origin of materials, ethical production and a long lasting life ",Yes,Disagree,TRUE,Neutral,1
843,R_3GuK5zicJZwUtSh,Yes,22-39,Female,North America,"Able to continue indefinitely. In more contemporary terms, it also means something that does little harm in the process.",TRUE,TRUE,Mostly true,Very important,Every 3 months,Do I feel comfortable and confident in it and am I going to wear it a lot?,Classic pieces that are made well,"Clothing that either had a small impact on the environment, or was produced with fair wages to garment workers.",Yes,Strongly agree,TRUE,Strongly disagree,1
844,R_3oFW1i7i5y3sjBV,Yes,22-39,Female,North America,"I won't define it, but I'll bring up what it conjures in my mind - a balance of environmental impact, social impact, and economic impact. Ensuring that the conditions that we have today will be possible for those in future generations, and not compromised.",TRUE,Mostly not true,Neutral,Important,Monthly,,,,Maybe/Not sure,Disagree,Neutral,Strongly agree,0
846,R_3PyQROM31PkYxxu,Yes,22-39,Male,North America,"Sustainability is multi-faceted as it is all at the same time social, environmental, financial, etc. Sustainability, in a broad sense is to make something profitable without having a negative impact on the environment (social, environmental, financial, etc.). ",TRUE,Mostly true,Mostly true,Very important,Monthly,"Looks, confort, and sustainability","Things that fits me (I am tall and skinny), more fashionable sustainable fashion for men",clothing that try/do not have a negative impact on the environment and the people that make them,Yes,Agree,TRUE,Strongly disagree,1
847,R_3GcAbLLUTz3hWmb,Yes,22-39,Female,Australia,"Long lasting, good quality and not harmful to the environment or people producing/consuming it",TRUE,TRUE,Mostly true,Very important,Monthly,Price/quality relationship,,,Yes,Disagree,TRUE,Disagree,1
848,R_3iBRQxzJyb8v7gY,Yes,22-39,Female,North America,The extent to which the actions/behaviors of an individual or institution has a net positive impact to the environment and people that they touch directly and indirectly.,TRUE,TRUE,TRUE,Very important,Every 6 months,How ethical is the clothing producer,"Truly warm and comfortable clothing that I can wear to work, wash at home (no hand washing necessary), and purchase for less than $200 per piece.",Clothing that has been made to empower the communities that make/sell them.,Yes,Strongly disagree,Mostly true,Agree,1
849,R_3QXVcLWtT5DhF4z,Yes,Under 22,Female,North America,Sustainability is an effort to be conscious. Conscious of the fact that the earth is not permanent and that our actions in detail or on a mass scale produce conditions that can further destroy our planet and its people or preserve and restore its vitality.  ,TRUE,Mostly true,TRUE,Very important,Monthly,"Buy used and if I can't find what I want then go to retail store, and I have to love the piece. ","I wish that I could find a store that could put a face to the clothing, a tag with a story, not simply a size and ""Made in Thailand"". ","Sustainable Clothing ensures that people (health, labor) and the earth are respected ",Yes,Neutral,TRUE,Neutral,1
850,R_1jw6p7dwp5G5RQm,Yes,Under 22,Female,North America,positive longterm effect on the environment,TRUE,Mostly true,TRUE,Very important,Monthly,I only buy clothing from secondhand shops or brands that to my knowledge are not committing any human rights violations in their apparel production process.,"More affordable ethical brands. The brands featured on your site are extremely beautiful and well made, but I don't have enough money to spend $300 on a sweater so I usually thrift or upcycle most of my clothes to reduce cost. (Not super comfortable buying activewear, lingerie, or swimwear secondhand though).",Clothing that has a positive environmental and social impact,Yes,Disagree,TRUE,Neutral,1
851,R_yDdY2nATkzHjzDr,Yes,39-52,Female,North America,"The ability of an activity to continue long into the future, based on its humane treatment of people and animals and its ability to minimize the impact of the activity on the Earth's environment.",TRUE,TRUE,TRUE,Very important,Weekly,"Design, price, sustainability of production",More information about the supply chain through which the item traveled and the workers who contributed to the final product.,"Clothing that is produced in ethical ways, that lasts, and that can be reinvented or repurposed by several owners.",Yes,Agree,TRUE,Neutral,1
852,R_1hy7oUldYjSWUd5,Yes,22-39,Female,Europe,"Clothing that is manufactured ethically, avoiding any negative impact on the people bringing the product to market and the environments in which they live. ",TRUE,Mostly true,TRUE,Very important,Monthly,If it is new - how and where it was produced. ,"A store with trend led pieces that manufactures locally, uses organic dyes and fabrics. (That isn't overpriced... I'd pay $50-65 for a dress)",Ethical produced fashion,Yes,Agree,TRUE,Strongly agree,1
853,R_1eqUKRWBu8tgUdq,Yes,22-39,Female,North America,,TRUE,TRUE,Mostly not true,Very important,Every 3 months,quality,Better quality items that don't fall apart after only one season. ,"Thrift shopping to me is the most sustainable way to shop. Anything new, no matter how much the company strives to be sustainable, still makes up wasted resources when there are so many items out there already/ ",Yes,Agree,TRUE,Neutral,1
854,R_3FLIDvELQhFxBjw,Yes,22-39,Female,North America,conscious effort to minimize detrimental impact on the earth and its inhabitants ,TRUE,TRUE,TRUE,Very important,Every 6 months,"longevity, practicality and quality of the items","more accessible and affordable clothing that is made ethically and ideally, as environmentally  responsible as possible. i wish i could find more stores  to shop at it in real life that care about sustainability. i hate online shopping! ","fabric choices that have a limited impact on the environment, clothing manufactured fairly and not ""fast""",Yes,Agree,TRUE,Neutral,1
855,R_1OxJ2uTTCfpwAE4,Yes,22-39,Female,Europe,Made in conditions that respect the environnement and the people who made it and made to last,Neutral,Mostly true,Mostly not true,Important,Monthly,will I have a lot of use of it ?,"More information on the things I buy (how they were made, by who, what they are made of...)",Made in good conditions and with eco-friendly products and made to last,Yes,Disagree,TRUE,Neutral,1
856,R_2q9MGxQFpYe6TJh,Yes,22-39,Female,Asia,"Sustainability, to me, is a path that promotes human rights, animal rights, and environmental conservation in a way that is also feasible for the company undertaking it, such that they can grow their ethical business positively and in turn be able give back even more to their employees, and their communities. It's important to create a chain of impact that doesn't just stop at the doorsteps of the company but far beyond to its raw material suppliers and producers. And if this impact can snowball enough to pressure the entire industry to be serious about sustainability, even better.",TRUE,Mostly true,TRUE,Very important,Every 3 months,Pricing. Style. Company (fair wages to workers?).,Reasonably-priced and stylish vintage clothing that is not $100-200 because that makes it financially difficult to shop ethically. Brands like Reformation and Matt & Nat are great but also very expensive. I do believe it's about quality over quantity but the price points are not feasible for average folks.,"Does not contribute to human, animal or environmental suffering.",Yes,Agree,TRUE,Neutral,1
857,R_32YompCt9DzYGDT,Yes,22-39,Female,North America,It's the act of living with less and purchasing items responsibly and ethically. (i.e. supporting brands/companys that practice clean methods that leave a small footprint on the planet and provide fair wage.),TRUE,Mostly true,TRUE,Very important,Yearly,Companies practices,More ethical and sustainable shoe companies that are more affordable.,Waste reducing and high quality,Yes,Agree,TRUE,Neutral,0
858,R_URbULuwDboSpRf3,Yes,22-39,Female,North America,,TRUE,TRUE,Mostly true,Very important,Yearly,Fit,,,Yes,Disagree,TRUE,Agree,1
859,R_2ffalynpXDhpwce,Yes,Under 22,Female,Europe,"It's a way of producing stuff (food, clothes,...) in a sustainable way, that means that fabrics use as least chemicals and equipment as possible that are destroying our enviroment. (I'm still nee to this, but if I was to explain this to someone I would say this)",TRUE,Mostly true,TRUE,Very important,Monthly,To feel good in it (not feeling to exposed) ,Jeans that fit me WELL,Produced in a ethical and gentle-to-enviroment way.,Maybe/Not sure,Disagree,TRUE,Strongly agree,1
860,R_2Pvx19nzZ9zucH7,Yes,Under 22,Female,Europe,something that stays constant no matter what,Mostly true,Mostly true,Neutral,Important,Monthly,how much money am i able to spend,good quality for small price,,Maybe/Not sure,Strongly disagree,TRUE,Neutral,1
861,R_2xPfhffea17TRjA,Yes,22-39,Female,North America,Production practices that establish environmental and employment standards that support the health and continued growth of all the communities they affect.,Mostly true,Mostly true,Neutral,Important,Monthly,Does it fill a need in my closet and will it bring me joy for 5-10 years?,More affordable sustainable shoes.,Environmentally conscious and pays a living wage to everyone involved in production.,Yes,Agree,TRUE,Disagree,1
862,R_UywH5J2dEm7vlQJ,Yes,22-39,Female,North America,"Caring for the wholistic impact of the needs and wants of everyday life on the earth, and aiming towards a mutual existence between all systems contained therein.",TRUE,Mostly true,TRUE,Very important,Every 3 months,Mwhere can I go to try it on that also fits in my schedule,A tag marking its sustainability ,Fashion that is conscious of all involved in the making procesd,Yes,Neutral,TRUE,Neutral,1
863,R_XZYpyIlIDPhtxhD,Yes,39-52,Female,North America," A better use of resources, better standards of working wages fair trade and environmental practices.",TRUE,TRUE,Mostly true,Important,Monthly,materials cost where it came from and who made it.,Better prices with natural fibers and locally sourced,clothing that lasts is made local within a 5 mile radius creadted with natural fibers does not use chemicals or exploit labor,Yes,Agree,TRUE,Agree,1
864,R_PM914N6A2lqbkZj,Yes,22-39,Female,North America,Effort to not permanently deplete resources,TRUE,TRUE,TRUE,Important,Every 6 months,Quality,Bespoke items,Made from renewable material in fair conditions,Yes,Disagree,Mostly true,Disagree,1
865,R_2xDZbpI7V7ZqxBT,Yes,22-39,Female,Europe,"if a product is made in a sustainable way, it is made to last and produced in a way that is causing minimal harm to the environment, the earth and the animals on it and without exploiting the people that made it. Instead giving them a change to improve their lives and the future of their children on the planet that we all love.",Mostly true,TRUE,Mostly true,Very important,Monthly,"Sustainability, practicality and looks are equally important.",More sustainable produces jeans.,"Good qualitiy clothing made from organic cotton or another material that is produced with minimal harm to the environment and made under save conditions by employees who are not being exploited, but earn enough to make a proper living and give their children a future..",Yes,Neutral,TRUE,Neutral,1
866,R_3HvFT37yWUQI5vf,Yes,Under 22,Female,Europe,Desire and act that helps us people care for each other and all on this planet with ethical support and it helps us to be in balance with nature ,TRUE,TRUE,Neutral,Very important,Monthly,Is it pretty,More ethical brands ,Clothing made in ethical and green conditions,Maybe/Not sure,Disagree,TRUE,Agree,1
867,R_acaVlYJTiMo34RT,Yes,22-39,Female,Asia,The absence of harm towards the environment and people,TRUE,TRUE,TRUE,Very important,Every 3 months,Quality and ethics being the label ,"More information about the code of conduct and general ethical policies of brands. 
More international sustainable label shipping where I live, although I believe it would be more sustainable if the local fashion scene became more engaged with conscious fashion. ",Clothing that is both fashionable and produced in a way that causes no harm to the environment and doesn't exploit its workers. ,Yes,Disagree,Mostly true,Neutral,1
868,R_3kGKWqFTWz37HiY,Yes,39-52,Female,North America,Practices that have as minimal negative impact on our natural resources as possible. ,TRUE,TRUE,Mostly true,Very important,Every 3 months,Price,Sustainable clothing that was priced more affordably,Clothing made in an ethically and environmentally friendly way,Yes,Neutral,TRUE,Agree,1
869,R_3JeLcfowmQBB5HS,Yes,39-52,Female,North America,Products that don't harm the environment and support the ppl that make them to make a fair living,Mostly true,Mostly true,Neutral,Important,Monthly,Style,Sustainable clothes at an affordable price. Willing to pay more but sometimes the costs are significantly higher.,,No,Strongly disagree,TRUE,Neutral,1
870,R_3PXihsmOULmc6VM,Yes,22-39,Female,North America,"The quality of being made by means that can be maintained long-term without negative effects on the environment, or without depleting the resources being farmed, mined, fished, or otherwise used in manufacturing.",TRUE,TRUE,Mostly true,Very important,Monthly,Whether I will wear it enough to be worth the cost,"Age-appropriate, high-quality, affordable, ethically made clothes (with pockets).",Clothes made without long-term negative impacts on the environment,Maybe/Not sure,Neutral,TRUE,Disagree,1
871,R_3lrbN1l0IV0766I,Yes,Under 22,Female,North America,Good for the environment and getting the most use out of something,TRUE,TRUE,TRUE,Very important,Every 3 months,"If the brand is ethical, price, and quality",Affordable ethically made clothing.,"Long-lasting, good for the environments, durable, fairly made (worker wages and conditions)",Yes,Strongly disagree,TRUE,Strongly agree,1
872,R_2ydur5V2dsFDAPI,Yes,Under 22,Female,North America,environmental and ethical actions taken at any opportunity possible when producing goods,TRUE,Neutral,Mostly true,Very important,Monthly,cost,"a larger variety, in look and purpose, of sustainably produced clothing ","clothing that is produced with concern for the environment, the individuals responsible for the production, and ideally the economical welfare of the producer and consumer",Yes,Disagree,TRUE,Agree,1
873,R_zeaJ5MjtZvPcWMp,Yes,Under 22,Female,Australia,"Something that can continue indefinitely without harming animals, the environment or humans*

*Note: I don't believe that anything we have today is completely sustainable, but that we are making good progress towards that goal",TRUE,TRUE,TRUE,Very important,Monthly,How ethical is it? Does anyone or anything suffer as a consequence of my purchase?,Ethical clothes for teenagers. There is nothing. NOTHING. ,"Clothing that aims to have as small as impact upon humans, the environmental and animals. It must be vegan, pay the living wage, and be reducing its affect on the environment in some substantial way",Yes,Agree,TRUE,Neutral,1
874,R_2xQNrcC5pBJPOhX,Yes,22-39,Female,Europe,"Local, organic, fair",TRUE,Mostly true,Mostly true,Very important,Monthly,"Quality, sustainability ",,"Organic, local, fair ",Yes,Neutral,TRUE,Disagree,1
875,R_1gRVs1GfVDyncC6,Yes,22-39,Female,North America,"Sustainability has more of an environmental connotation. Something you can produce without bleeding dry resources. Sustainability to me is a company that gives more than it takes from workers, consumers and the environment. To truly be sustainable for the long term responsible shipping and a significant decrease in reliance on animal agriculture need to occur.",TRUE,Mostly true,TRUE,Very important,Every 3 months,Which brand do I want to support,A black jumpsuit without flaired legs...more fun sustainable pieces,"Clothing made by a company that does not oppress it's workers, it's consumers or the environment.",Yes,Disagree,Mostly true,Neutral,1
876,R_1FRE6dsi4PRt2gd,Yes,22-39,Female,North America,"Paying a living wage 
No child labor
Lower water usage
Careful cleanup of clothing dyes
No dumping of waste
Better, ethically sourced materials",TRUE,Mostly true,TRUE,Important,Every 3 months,"Will I wear this a lot, for many years?","Mass produced, ethically made clothes. No slave labor, but mass production to lower costs.",Livable wages for workers,Yes,Neutral,Neutral,Strongly disagree,1
877,R_1NeqgjCKa9IElZY,Yes,Under 22,Female,North America,choosing to interact with the world in a way that ensures the longevity of all its resources ,Mostly true,Mostly true,Neutral,Important,Monthly,how I feel when wearing it,Good quality fabric that will last a long time without having to question a company's ethics.,clothing that benefits all factors involved in its production,Maybe/Not sure,Disagree,Mostly true,Neutral,0
878,R_OcAHwlsPPiPCMDv,Yes,22-39,Female,North America,"preferably closed loop, with lowest possible environmental footprint. produced without water overuse, factory workers working limited hours and for living wages",TRUE,Mostly true,Mostly true,Very important,Monthly,"has to meet some standard of sustainability, look good",,minimal environmental impact,Yes,Agree,Mostly true,Disagree,1
879,R_233G84E5PkCZhlN,Yes,22-39,Female,North America,Practices that emphasize minimally destructive environmental processes.,Mostly true,Neutral,Mostly true,Slightly important,Every 3 months,"Price, style, production processes (I avoid sweatshop-made pieces), brand status.","More affordably priced sweatshop-free pieces (especially underwear), especially in physical nearby stores.","Generally, I think of sustainable clothing as environmentally sustainable clothing as that is how I most often hear the term used. I think of company ethics/labour practices as a separate practice.",Yes,Neutral,Neutral,Neutral,1
880,R_2pQQ9Dz2IN1h9hO,Yes,Under 22,Female,North America,"A sustainable product or process is one whose implementation has no short term or long term negative effects on the environment, economy, or productivity of the world, including the product or process itself. ",TRUE,Neutral,Mostly true,Very important,Monthly,how much I will spend on it,"Affordable, well made simplistic pieces that are also sustainable.",Clothing that is made in fair-wage factories under safe working conditions with environmentally friendly materials.,Yes,Strongly disagree,TRUE,Strongly agree,1
881,R_x3dCWv1pTtS1Nrb,Yes,Under 22,Female,Europe,Something that will last in the long run,Mostly true,Neutral,Mostly true,Important,Every 3 months,where it is from,My style in second hand shops,"Clothing that is made with good working conditions, also clothes that have been with a previous owner",Yes,Disagree,TRUE,Strongly agree,1
882,R_1n31CR0gIkZyZii,Yes,22-39,Female,North America,"The ability to perform in a way that does not deplete a) the environment of its natural resources b) people of fair wages, benefits, and basic human rights, and c) contributes to moving towards the health of the earth and its inhabitants",TRUE,TRUE,TRUE,Very important,Weekly,,"If it is in a larger department store (which I have begun to avoid), it would be great if there was a ""sustainable"" section that sold products that have more source detail available for more environmentally conscious consumers, or just those looking for higher quality items.","Clothing that is made to last many wears and washes, that is ethically sourced in terms of labor and material (more local is better)",Yes,Disagree,TRUE,Strongly disagree,1
